Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
2_1,R1-400,1204,0.61,,,2.03,,,,,,
2_1,R1-450,1371,0.69,,,2.01,,,,,,
2_1,R1-500,1478,0.78,,,2.11,,,,,,
2_1,R1-600,1340,0.69,,,2.06,,,,,,
2_2,R2-400,1258,0.71,,,2.26,,,,,,
2_2,R2-450,1503,0.86,,,2.29,,,,,,
2_2,R2-500,1387,1.17,,,3.37,,,,,,
2_2,R2-600,1340,1.07,,,3.19,,,,,,
2_3,R3-400,1286,0.88,,,2.73,,,,,,
2_3,R3-450,1317,1.05,,,3.18,,,,,,
2_3,R3-500,1100,1.27,,,4.64,,,,,,
2_3,R3-600,838,1.18,,,5.63,,,,,,
